specobjid,ra,dec,programname,survey,objtype,class,subclass,plate,mjd,fiberid,spec_dr,spec_url,ps1_sep,nearest_psid,psid_count,mos_sep,nearest_mos_catalogid
1.7056296326546608e+19,134.43592,1.593483,eFEDS1,bhm-mwm,QSO,GALAXY,,15149,59231,140,18,https://dr18.sdss.org/sas/dr18/spectro/boss/redux/v6_0_4/spectra/full/15149p/59231/spec-15149-59231-06748043076.fits,0.04334962489096156,109911344360092689,1,63.48443426295199,27021598102748672
6.36156849317505e+17,134.45126,1.5917123,legacy,sdss,ROSAT_D,STAR,M0,565,52225,85,17,https://data.sdss.org/sas/dr17/sdss/spectro/redux/26/spectra/0565/spec-0565-52225-0085.fits,0.0072778020939535705,109911344512290532,1,22.5266065397719,27021598102747971
1.7056279558994285e+19,134.54053,1.5937804,eFEDS1,bhm-mwm,QSO,GALAXY,,15149,59231,79,18,https://dr18.sdss.org/sas/dr18/spectro/boss/redux/v6_0_4/spectra/full/15149p/59231/spec-15149-59231-06748043532.fits,0.01977026996456656,109911345404693025,1,69.20743021030114,27021598102748016
4.29651769584598e+18,134.62999,1.5988775,boss,boss,QSO,QSO,,3816,55272,304,17,https://data.sdss.org/sas/dr17/eboss/spectro/redux/v5_13_2/spectra/full/3816/spec-3816-55272-0304.fits,0.05648926249150403,109911346300159048,1,114.29302584255001,27021600091207402
4.2965311648634204e+18,134.38387,1.6016062,boss,boss,LRG,GALAXY,,3816,55272,353,17,https://data.sdss.org/sas/dr17/eboss/spectro/redux/v5_13_2/spectra/full/3816/spec-3816-55272-0353.fits,0.14497723870391066,109921343838212246,1,93.33069176072138,27021598102748561
1.705964076565452e+19,134.42734,1.6051148,eFEDS1,bhm-mwm,QSO,GALAXY,,15152,59208,19,18,https://dr18.sdss.org/sas/dr18/spectro/boss/redux/v6_0_4/spectra/full/15152p/59208/spec-15152-59208-06748050199.fits,0.028665033490150652,109921344272966600,1,28.876484744740633,27021598102748596
1.7076568022780236e+19,134.45869,1.5996838,eFEDS2,bhm-mwm,QSO,GALAXY,,15167,59252,160,18,https://dr18.sdss.org/sas/dr18/spectro/boss/redux/v6_0_4/spectra/full/15167p/59252/spec-15167-59252-06748051151.fits,0.025360851758457075,109921344586530029,1,0.00013519317527677338,27021600802286236
1.7056292203378004e+19,134.46437,1.6023748,eFEDS1,bhm-mwm,QSO,GALAXY,,15149,59231,125,18,https://dr18.sdss.org/sas/dr18/spectro/boss/redux/v6_0_4/spectra/full/15149p/59231/spec-15149-59231-06748051374.fits,0.2970060270639702,109921344643933285,1,22.61953208621489,27021600802286236
4.2965204446250496e+18,134.4806,1.5997974,boss,boss,QSO,QSO,,3816,55272,314,17,https://data.sdss.org/sas/dr17/eboss/spectro/redux/v5_13_2/spectra/full/3816/spec-3816-55272-0314.fits,0.016788328728547474,109921344806160239,1,0.07742176773126043,27021600043933056
4.2965215441366774e+18,134.53301,1.6047297,boss,boss,QSO,STAR,F6III (61064),3816,55272,318,17,https://data.sdss.org/sas/dr17/eboss/spectro/redux/v5_13_2/spectra/full/3816/spec-3816-55272-0318.fits,0.1494114307173689,109921345329226069,1,67.03515806054914,27021600086969641
1.7056318041901257e+19,133.8761,1.6083193,eFEDS1,bhm-mwm,QSO,GALAXY,,15149,59231,219,18,https://dr18.sdss.org/sas/dr18/spectro/boss/redux/v6_0_4/spectra/full/15149p/59231/spec-15149-59231-06747976793.fits,0.02656732708929817,109931338760340485,1,85.06438581596316,27021598102741476
6.361560246837842e+17,134.22636,1.6118422,legacy,sdss,QA,GALAXY,,565,52225,82,17,https://data.sdss.org/sas/dr17/sdss/spectro/redux/26/spectra/0565/spec-0565-52225-0082.fits,0.11825078720747553,109931342264174673,1,0.015542333995518912,27021598102748153
5.270907881489961e+17,134.24362,1.6152105,legacy,sdss,GALAXY,GALAXY,,468,51912,617,17,https://data.sdss.org/sas/dr17/sdss/spectro/redux/26/spectra/0468/spec-0468-51912-0617.fits,0.05292052357940548,109931342436578670,1,0.056561260659225295,27021598102748159
1.7076583415943025e+19,134.25802,1.6081109,eFEDS2,bhm-mwm,QSO,GALAXY,,15167,59252,216,18,https://dr18.sdss.org/sas/dr18/spectro/boss/redux/v6_0_4/spectra/full/15167p/59252/spec-15167-59252-06748045481.fits,0.04372647877212735,109931342581270112,1,54.48941686582021,27021600107267848
1.707656582375698e+19,134.33375,1.6081218,eFEDS2,bhm-mwm,QSO,GALAXY,,15167,59252,152,18,https://dr18.sdss.org/sas/dr18/spectro/boss/redux/v6_0_4/spectra/full/15167p/59252/spec-15167-59252-06748049650.fits,0.03968903368885393,109931343336980018,1,74.06331852427672,27021598102748209
6.361557498058772e+17,134.33656,1.6097574,legacy,sdss,REDDEN_STD,STAR,F5,565,52225,81,17,https://data.sdss.org/sas/dr17/sdss/spectro/redux/26/spectra/0565/spec-0565-52225-0081.fits,0.18289776247915548,109931343365862154,1,79.45855736525681,27021598102748561
4.296532264375048e+18,134.42515,1.6106772,boss,boss,LRG,GALAXY,,3816,55272,357,17,https://data.sdss.org/sas/dr17/eboss/spectro/redux/v5_13_2/spectra/full/3816/spec-3816-55272-0357.fits,0.07413092860307104,109931344251313362,1,34.20859221744966,27021598102748596
1.7059644613945217e+19,134.44622,1.6123943,eFEDS1,bhm-mwm,QSO,GALAXY,,15152,59208,33,18,https://dr18.sdss.org/sas/dr18/spectro/boss/redux/v6_0_4/spectra/full/15152p/59208/spec-15152-59208-06748051079.fits,0.030095915653352956,109931344461185316,1,27.791219876048228,27021598102748672
4.296552605340162e+18,133.94953,1.6230526,boss,boss,LRG,GALAXY,,3816,55272,431,17,https://data.sdss.org/sas/dr17/eboss/spectro/redux/v5_13_2/spectra/full/3816/spec-3816-55272-0431.fits,0.1735560785309496,109941339495958149,1,32.28867562358545,27021600091204901
4.296552330462255e+18,134.01011,1.6173361,boss,boss,NA,QSO,,3816,55272,430,17,https://data.sdss.org/sas/dr17/eboss/spectro/redux/v5_13_2/spectra/full/3816/spec-3816-55272-0430.fits,20.767461942726474,109941340044192438,1,44.633733739797776,27021598102742286
4.296542159979698e+18,134.15457,1.6235312,boss,boss,LRG,GALAXY,,3816,55272,393,17,https://data.sdss.org/sas/dr17/eboss/spectro/redux/v5_13_2/spectra/full/3816/spec-3816-55272-0393.fits,0.03479678075128064,109941341545518563,1,88.53172662573745,27021598102748031
1.7076583965698839e+19,134.17203,1.6173558,eFEDS2,bhm-mwm,QSO,GALAXY,STARFORMING,15167,59252,218,18,https://dr18.sdss.org/sas/dr18/spectro/boss/redux/v6_0_4/spectra/full/15167p/59252/spec-15167-59252-06748043890.fits,0.040563604124953134,109941341720891388,1,115.33170812019759,27021600108378300
4.296542434857605e+18,134.22808,1.6200341,boss,boss,QSO,QSO,BROADLINE,3816,55272,394,17,https://data.sdss.org/sas/dr17/eboss/spectro/redux/v5_13_2/spectra/full/3816/spec-3816-55272-0394.fits,0.0362835045422747,109941342280824456,1,0.03982054730003729,27021598102748154
5.281540159098327e+17,134.24541,1.6236918,legacy,sdss,GALAXY,GALAXY,,469,51913,389,17,https://data.sdss.org/sas/dr17/sdss/spectro/redux/26/spectra/0469/spec-0469-51913-0389.fits,0.09094256355202984,109941342454388880,1,0.08056596485325798,27021598102748165
1.705629522703498e+19,134.41689,1.6174218,eFEDS1,bhm-mwm,QSO,GALAXY,,15149,59231,136,18,https://dr18.sdss.org/sas/dr18/spectro/boss/redux/v6_0_4/spectra/full/15149p/59231/spec-15149-59231-06748050098.fits,0.010701640042990901,109941344168381380,1,52.99883472299282,27021598102748596
1.7076566923268608e+19,134.43087,1.6211984,eFEDS2,bhm-mwm,QSO,GALAXY,,15167,59252,156,18,https://dr18.sdss.org/sas/dr18/spectro/boss/redux/v6_0_4/spectra/full/15167p/59252/spec-15167-59252-06748050076.fits,0.006791702778284605,109941344308445915,1,46.42197386756306,27021598102748672
5.281628120028549e+17,134.4869,1.6245541,legacy,sdss,QSO,GALAXY,STARBURST,469,51913,421,17,https://data.sdss.org/sas/dr17/sdss/spectro/redux/26/spectra/0469/spec-0469-51913-0421.fits,0.08276638927126212,109941344868889945,1,0.07416011110829882,27021600086968848
